from,to,seats,tipo
s040,s105,49281,EU
s105,s040,49281,EU
s060,s101,20350,EU
s101,s060,20020,EU
s181,s101,10560,EU
s101,s181,10560,EU
s105,s132,18042,extra_EU
s132,s105,17751,extra_EU
s105,s023,9021,extra_EU
s023,s155,9021,extra_EU
s023,s105,9021,extra_EU
s155,s023,9021,extra_EU
s105,s150,17298,extra_EU
s150,s105,17298,extra_EU
s150,s155,8277,extra_EU
s155,s150,8277,extra_EU
s105,s078,27063,extra_EU
s078,s105,27063,extra_EU
s105,s115,5607,extra_EU
s115,s105,5874,extra_EU
s136,s105,7209,extra_EU
s105,s136,7209,extra_EU
s043,s105,18042,extra_EU
s105,s043,18042,extra_EU
s046,s105,2808,extra_EU
s105,s046,2808,extra_EU
s148,s105,12276,extra_EU
s105,s148,12276,extra_EU
s091,s105,18042,extra_EU
s105,s091,18042,extra_EU
s059,s105,2808,extra_EU
s105,s059,2808,extra_EU
s128,s105,10818,extra_EU
s105,s128,11034,extra_EU
s138,s105,14973,extra_EU
s105,s138,14973,extra_EU
s016,s105,8277,extra_EU
s119,s016,8277,extra_EU
s016,s119,8277,extra_EU
s105,s016,8277,extra_EU
s108,s105,9021,extra_EU
s105,s108,9021,extra_EU
s098,s105,1068,extra_EU
s105,s098,1068,extra_EU
s005,s105,6696,extra_EU
s105,s005,6696,extra_EU
s003,s105,8010,extra_EU
s105,s003,8010,extra_EU
s178,s105,9021,extra_EU
s105,s178,9021,extra_EU
s180,s105,14973,extra_EU
s105,s180,14973,extra_EU
s177,s105,8277,extra_EU
s105,s177,8277,extra_EU
s179,s105,5874,extra_EU
s105,s179,5874,extra_EU
s058,s105,23763,extra_EU
s105,s058,23763,extra_EU
s090,s105,60657,extra_EU
s105,s090,69678,extra_EU
s026,s105,9021,extra_EU
s105,s026,9021,extra_EU
s124,s105,3783,extra_EU
s105,s124,3783,extra_EU
s017,s105,9021,extra_EU
s052,s017,9021,extra_EU
s017,s052,9021,extra_EU
s105,s017,9021,extra_EU
s087,s105,6942,extra_EU
s105,s087,6942,extra_EU
s004,s105,27661,EU
s105,s004,27661,EU
s130,s105,26256,EU
s105,s130,26405,EU
s029,s105,17298,extra_EU
s105,s117,38035,EU
s117,s105,38035,EU
s105,s029,17298,extra_EU
s048,s105,18042,extra_EU
s105,s048,18042,extra_EU
s105,s060,44423,EU
s060,s105,44274,EU
s045,s105,3471,extra_EU
s105,s045,3471,extra_EU
s039,s105,3471,extra_EU
s105,s039,3738,extra_EU
s105,s071,40515,EU
s071,s105,40389,EU
s090,s117,6696,extra_EU
s117,s090,6696,extra_EU
s037,s105,9021,extra_EU
s105,s037,9021,extra_EU
s097,s105,8010,extra_EU
s105,s097,8010,extra_EU
s163,s105,14973,extra_EU
s105,s163,14973,extra_EU
s146,s105,5874,extra_EU
s105,s146,5607,extra_EU
s061,s105,22170,extra_EU
s105,s061,22170,extra_EU
s054,s105,6696,extra_EU
s082,s054,6696,extra_EU
s082,s104,14685,extra_EU
s104,s082,14418,extra_EU
s054,s082,6696,extra_EU
s105,s054,6696,extra_EU
s118,s104,6675,extra_EU
s104,s118,6675,extra_EU
s121,s105,18042,extra_EU
s105,s121,18042,extra_EU
s030,s105,24564,extra_EU
s105,s030,24564,extra_EU
s022,s104,12015,extra_EU
s142,s022,3738,extra_EU
s022,s142,3738,extra_EU
s104,s022,12015,extra_EU
s012,s104,8277,extra_EU
s073,s012,2403,extra_EU
s158,s012,3471,extra_EU
s168,s012,2403,extra_EU
s012,s073,2403,extra_EU
s012,s158,3471,extra_EU
s012,s168,2403,extra_EU
s104,s012,8277,extra_EU
s081,s105,17394,extra_EU
s164,s104,4806,extra_EU
s104,s164,4806,extra_EU
s105,s081,17394,extra_EU
s049,s105,8277,extra_EU
s105,s049,8277,extra_EU
s050,s104,8010,extra_EU
s104,s050,7743,extra_EU
s015,s104,7476,extra_EU
s104,s015,7476,extra_EU
s019,s104,5607,extra_EU
s104,s019,5607,extra_EU
s094,s104,2937,extra_EU
s104,s094,2937,extra_EU
s036,s105,6696,extra_EU
s105,s036,6696,extra_EU
s075,s105,13095,extra_EU
s105,s075,13095,extra_EU
s123,s104,8773,EU
s104,s123,8812,EU
s104,s114,588,EU
s114,s104,588,EU
s120,s105,3783,extra_EU
s105,s120,3783,extra_EU
s062,s075,5238,extra_EU
s070,s075,3783,extra_EU
s104,s116,9586,EU
s116,s104,9586,EU
s075,s062,5238,extra_EU
s075,s070,3783,extra_EU
s104,s018,5850,EU
s018,s104,5850,EU
s068,s127,3888,extra_EU
s127,s105,4752,extra_EU
s140,s127,864,extra_EU
s105,s127,4752,extra_EU
s127,s068,3888,extra_EU
s127,s140,864,extra_EU
s111,s105,3024,extra_EU
s104,s064,6106,EU
s064,s104,6106,EU
s105,s111,2808,extra_EU
s025,s104,9556,EU
s104,s025,9556,EU
s104,s166,3626,EU
s166,s104,3626,EU
s104,s170,8769,EU
s170,s104,8769,EU
